Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Elegoo filament","To print the feet",1,13.77,"https://www.jaycar.com.au/elegoo-pla-filament-space-grey-1-75mm-1kg/p/TL6412","Jaycar electronics"
"Wooden dowel","For the filament to rest on",1,13.00,"https://www.bunnings.com.au/porta-12mm-1-8m-eucalyptus-grandis-dowel_p0497587","Bunnings warehouse"
